slug,image_type,path,format,alt_text,license,source,note
5-amino-1mq,grade_card,images/grade-cards/5-amino-1mq.svg,svg,"Evidence-grade card for 5-Amino-1MQ (NNMT inhibitor). Overall grade C. Per-outcome — Fat loss / anti-obesity: F; NNMT as an obesity target (validation): C; Muscle stem cells / aging / recomposition: F; Lipids / insulin sensitivity: F; Human efficacy or safety (any use): F; Safety (animal): not graded. Based on 5 cited sources, 1 DOI-verified.",CC-BY-4.0,Vallydia Ingredient-Evidence Register (https://vallydia.com) — evidence-grade card rendered from the dataset grades,
5-amino-1mq,none,,,,CC-BY-4.0,Vallydia Ingredient-Evidence Register (https://vallydia.com) — structure rendered with RDKit from a PubChem-resolved SMILES,no image — identifier confidence 'none'; no confident structure to render
adipotide,grade_card,images/grade-cards/adipotide.svg,svg,"Evidence-grade card for Adipotide (FTPP / Prohibitin-TP01). Overall grade C. Per-outcome — Weight loss / fat reduction (the marketed use): F; Insulin sensitivity / metabolic: F; Human efficacy: F; Safety (the decisive issue): F; Mechanism / target validation: C. Based on 5 cited sources, 3 DOI-verified.",CC-BY-4.0,Vallydia Ingredient-Evidence Register (https://vallydia.com) — evidence-grade card rendered from the dataset grades,
adipotide,sequence_card,images/structures/adipotide.svg,svg,"Data card for Adipotide (FTPP / Prohibitin-TP01): peptide, molecular formula C111H206N36O28S2, 177 heavy atoms, molecular weight 2557.2 g/mol. Large peptide — 2D structure not shown.",CC-BY-4.0,Vallydia Ingredient-Evidence Register (https://vallydia.com) — structure rendered with RDKit from a PubChem-resolved SMILES,"large molecule (177 heavy atoms > 70) — schematic card, not a 2D depiction"
afamelanotide,grade_card,images/grade-cards/afamelanotide.svg,svg,"Evidence-grade card for Afamelanotide (Scenesse / Melanotan-1). Overall grade A. Per-outcome — EPP — phototoxicity prevention / pain-free light exposure (the approved use): A; UV-independent skin pigmentation (eumelanin): B; Cosmetic tanning (the gray-market ""Melanotan-1"" use): D; Other explored uses (vitiligo, PLE, solar urticaria, acne): D; Photoprotection in the general (non-EPP) population: F; Safety: not graded. Based on 5 cited sources, 1 DOI-verified.",CC-BY-4.0,Vallydia Ingredient-Evidence Register (https://vallydia.com) — evidence-grade card rendered from the dataset grades,
afamelanotide,sequence_card,images/structures/afamelanotide.svg,svg,"Data card for Afamelanotide (Scenesse / Melanotan-1): peptide, molecular formula C78H111N21O19, 118 heavy atoms, molecular weight 1646.9 g/mol. Large peptide — 2D structure not shown.",CC-BY-4.0,Vallydia Ingredient-Evidence Register (https://vallydia.com) — structure rendered with RDKit from a PubChem-resolved SMILES,"large molecule (118 heavy atoms > 70) — schematic card, not a 2D depiction"
ahk-cu,grade_card,images/grade-cards/ahk-cu.svg,svg,"Evidence-grade card for AHK-Cu (Copper Tripeptide-3). Overall grade C. Per-outcome — Hair-follicle elongation / dermal-papilla-cell proliferation (in vitro / ex vivo): C; Topical serum increasing hair density in people (the marketed use): D; ""Regrows hair / treats hair loss"": F; Safety (topical): not graded. Based on 3 cited sources, 1 DOI-verified.",CC-BY-4.0,Vallydia Ingredient-Evidence Register (https://vallydia.com) — evidence-grade card rendered from the dataset grades,
ahk-cu,structure,images/structures/ahk-cu.svg,svg,"2D chemical structure of AHK-Cu (Copper Tripeptide-3) (C15H24ClCuN6O4-), molecular weight 451.4 g/mol, 27 heavy atoms.",CC-BY-4.0,Vallydia Ingredient-Evidence Register (https://vallydia.com) — structure rendered with RDKit from a PubChem-resolved SMILES,
aicar,grade_card,images/grade-cards/aicar.svg,svg,"Evidence-grade card for AICAR (Acadesine). Overall grade B. Per-outcome — Endurance / exercise performance (the marketed use): F; Fat oxidation / metabolic / insulin sensitivity: F; Cardioprotection (Acadesine, cardiac surgery): C; AMPK-activation (as a research tool): B; Human safety (self-use): not graded. Based on 5 cited sources, 1 DOI-verified.",CC-BY-4.0,Vallydia Ingredient-Evidence Register (https://vallydia.com) — evidence-grade card rendered from the dataset grades,
aicar,structure,images/structures/aicar.svg,svg,"2D chemical structure of AICAR (Acadesine) (C9H15N4O8P), molecular weight 338.2 g/mol, 22 heavy atoms.",CC-BY-4.0,Vallydia Ingredient-Evidence Register (https://vallydia.com) — structure rendered with RDKit from a PubChem-resolved SMILES,
alpha-arbutin,grade_card,images/grade-cards/alpha-arbutin.svg,svg,"Evidence-grade card for Alpha Arbutin. Overall grade B. Per-outcome — Hyperpigmentation / dark spots (appearance): B; Post-inflammatory hyperpigmentation / PIH (appearance): B; Melasma (appearance, usually in combination): B; Isolated standalone efficacy (arbutin alone vs control): C; Gentleness & safety (no free hydroquinone at cosmetic concentration): not graded. Based on 3 cited sources, 3 DOI-verified.",CC-BY-4.0,Vallydia Ingredient-Evidence Register (https://vallydia.com) — evidence-grade card rendered from the dataset grades,
alpha-arbutin,structure,images/structures/alpha-arbutin.svg,svg,"2D chemical structure of Alpha Arbutin (C12H16O7), molecular weight 272.3 g/mol, 19 heavy atoms.",CC-BY-4.0,Vallydia Ingredient-Evidence Register (https://vallydia.com) — structure rendered with RDKit from a PubChem-resolved SMILES,
amycretin,grade_card,images/grade-cards/amycretin.svg,svg,"Evidence-grade card for Amycretin. Overall grade B. Per-outcome — Weight loss — subcutaneous: B; Weight loss — oral: B; Type-2 diabetes (HbA1c): B; Safety: not graded. Based on 3 cited sources, 1 DOI-verified.",CC-BY-4.0,Vallydia Ingredient-Evidence Register (https://vallydia.com) — evidence-grade card rendered from the dataset grades,
amycretin,none,,,,CC-BY-4.0,Vallydia Ingredient-Evidence Register (https://vallydia.com) — structure rendered with RDKit from a PubChem-resolved SMILES,no image — identifier confidence 'none'; no confident structure to render
aod-9604,grade_card,images/grade-cards/aod-9604.svg,svg,"Evidence-grade card for AOD-9604 (hGH fragment 176-191 analog). Overall grade B. Per-outcome — Weight loss / obesity (the intended use): F; Lipolysis / fat metabolism (mechanistic): D; IGF-1 / glucose neutrality (the design goal): B; Joint / osteoarthritis (repurposing): F; Safety / tolerability: not graded. Based on 5 cited sources, 0 DOI-verified.",CC-BY-4.0,Vallydia Ingredient-Evidence Register (https://vallydia.com) — evidence-grade card rendered from the dataset grades,
