slug,name,claim_type,claim_text
ahk-cu,Copper Tripeptide-3,allowed,"for **fuller-, thicker-looking** hair"
ahk-cu,Copper Tripeptide-3,allowed,healthier-**looking** hair and scalp.
ahk-cu,Copper Tripeptide-3,forbidden,grows / regrows hair
ahk-cu,Copper Tripeptide-3,forbidden,treats / prevents hair loss
ahk-cu,Copper Tripeptide-3,forbidden,stimulates hair follicles
ahk-cu,Copper Tripeptide-3,forbidden,increases hair density / count
ahk-cu,Copper Tripeptide-3,forbidden,extends the anagen phase
alpha-arbutin,Alpha Arbutin,allowed,"for the appearance of a more even, brighter-looking complexion"
alpha-arbutin,Alpha Arbutin,allowed,helps reduce the look of dark spots
alpha-arbutin,Alpha Arbutin,allowed,gentle brightening support for sensitive skin
alpha-arbutin,Alpha Arbutin,allowed,for a more uniform-looking tone
alpha-arbutin,Alpha Arbutin,forbidden,bleaches skin
alpha-arbutin,Alpha Arbutin,forbidden,releases hydroquinone
alpha-arbutin,Alpha Arbutin,forbidden,as effective as hydroquinone
alpha-arbutin,Alpha Arbutin,forbidden,treats melasma
alpha-arbutin,Alpha Arbutin,forbidden,cures hyperpigmentation
alpha-arbutin,Alpha Arbutin,forbidden,inhibits tyrosinase
alpha-arbutin,Alpha Arbutin,forbidden,skin-whitening
argireline,Acetyl Hexapeptide-8,allowed,helps reduce the **appearance** of expression lines
argireline,Acetyl Hexapeptide-8,allowed,for smoother-looking skin around the eyes and forehead
argireline,Acetyl Hexapeptide-8,allowed,targets the **look** of fine lines
argireline,Acetyl Hexapeptide-8,forbidden,topical botox
argireline,Acetyl Hexapeptide-8,forbidden,botox in a jar
argireline,Acetyl Hexapeptide-8,forbidden,botox alternative
argireline,Acetyl Hexapeptide-8,forbidden,relaxes muscles
argireline,Acetyl Hexapeptide-8,forbidden,inhibits muscle contraction
argireline,Acetyl Hexapeptide-8,forbidden,reduces neurotransmitter/acetylcholine release
argireline,Acetyl Hexapeptide-8,forbidden,freezes wrinkles
argireline,Acetyl Hexapeptide-8,forbidden,by function
argireline,Acetyl Hexapeptide-8,forbidden,the proposed mechanism
azelaic-acid,Azelaic Acid,allowed,"for the appearance of a clearer, more even complexion"
azelaic-acid,Azelaic Acid,allowed,helps reduce the look of dark spots and blemishes
azelaic-acid,Azelaic Acid,allowed,"for calmer, less red-looking skin"
azelaic-acid,Azelaic Acid,allowed,"supports a smoother-looking, more uniform tone"
azelaic-acid,Azelaic Acid,forbidden,treats acne
azelaic-acid,Azelaic Acid,forbidden,treats rosacea
azelaic-acid,Azelaic Acid,forbidden,treats melasma
azelaic-acid,Azelaic Acid,forbidden,cures dark spots
azelaic-acid,Azelaic Acid,forbidden,inhibits tyrosinase
azelaic-acid,Azelaic Acid,forbidden,anti-inflammatory
azelaic-acid,Azelaic Acid,forbidden,antibacterial
azelaic-acid,Azelaic Acid,forbidden,reverses aging
azelaic-acid,Azelaic Acid,forbidden,anti-wrinkle
bakuchiol,Bakuchiol,allowed,"for the appearance of smoother, more refined-looking skin"
bakuchiol,Bakuchiol,allowed,helps improve the look of fine lines
bakuchiol,Bakuchiol,allowed,for the appearance of a more even complexion
bakuchiol,Bakuchiol,allowed,"supports the look of firmer, healthy-looking skin"
bakuchiol,Bakuchiol,allowed,a gentle alternative for the appearance of aging skin
bakuchiol,Bakuchiol,allowed,antioxidant
bakuchiol,Bakuchiol,forbidden,natural retinol
bakuchiol,Bakuchiol,forbidden,plant retinol
bakuchiol,Bakuchiol,forbidden,as effective as retinol (implies clinical equivalence beyond appearance)
bakuchiol,Bakuchiol,forbidden,treats wrinkles
bakuchiol,Bakuchiol,forbidden,stimulates collagen synthesis
bakuchiol,Bakuchiol,forbidden,reverses aging
bakuchiol,Bakuchiol,forbidden,retinoid alternative for treatment
bakuchiol,Bakuchiol,forbidden,safe during pregnancy (implies medical safety claim)
bakuchiol,Bakuchiol,forbidden,treats acne
bakuchiol,Bakuchiol,forbidden,anti-inflammatory
ceramides,Ceramides,allowed,"supports the appearance of a healthy, resilient-looking skin barrier"
ceramides,Ceramides,allowed,helps skin look and feel hydrated and comfortable
ceramides,Ceramides,allowed,"for the appearance of smoother, less-flaky skin"
ceramides,Ceramides,allowed,helps reduce the look of dryness and tightness
ceramides,Ceramides,allowed,replenishes skin's feel of moisture
ceramides,Ceramides,forbidden,repairs the skin barrier
ceramides,Ceramides,forbidden,treats eczema
ceramides,Ceramides,forbidden,treats atopic dermatitis
ceramides,Ceramides,forbidden,heals damaged skin
ceramides,Ceramides,forbidden,restores the lipid barrier
ceramides,Ceramides,forbidden,reduces inflammation
ceramides,Ceramides,forbidden,anti-inflammatory
ceramides,Ceramides,forbidden,cures dryness
ectoin,Ectoin,allowed,supports the appearance of a healthy skin barrier
ectoin,Ectoin,allowed,"for the appearance of hydrated, comfortable-feeling skin"
ectoin,Ectoin,allowed,helps reduce the look of redness
ectoin,Ectoin,allowed,for the appearance of skin that feels calm and soothed
ectoin,Ectoin,allowed,antioxidant
ectoin,Ectoin,forbidden,treats atopic dermatitis
ectoin,Ectoin,forbidden,treats eczema
ectoin,Ectoin,forbidden,repairs the skin barrier
ectoin,Ectoin,forbidden,anti-inflammatory
ectoin,Ectoin,forbidden,reduces inflammation
ectoin,Ectoin,forbidden,reverses aging
ectoin,Ectoin,forbidden,builds collagen
ectoin,Ectoin,forbidden,replaces retinol
exosomes,Exosomes,allowed,delivers antioxidants that help defend the look of skin against daily stress
