slug,name,region,status,note
5-amino-1mq,5-Amino-1MQ (NNMT inhibitor),EU,Not FDA-approved (gray-market),"not approved anywhere; investigational research chemical. Not a cosmetic; not on the FDA 503A bulk-compounding list (no legitimate compounding/clinical access route). Sold as a ""research use only"" small molecule."
adipotide,Adipotide (FTPP / Prohibitin-TP01),EU,Not approved,not approved anywhere; clinical development permanently discontinued (2019). Not a cosmetic; not on the FDA 503A list; no legal pathway for human use.
afamelanotide,Afamelanotide (Scenesse / Melanotan-1),INT,approved in Australia (TGA),approved in Australia (TGA); available for EPP in various markets.
ahk-cu,AHK-Cu (Copper Tripeptide-3),EU,a cosmetic ingredient in topical hair products (EU Regulatio,"a cosmetic ingredient in topical hair products (EU Regulation (EC) 1223/2009; US cosmetic law). But note: hair-growth / anti-hair-loss claims are medicinal — a product making them would be treated as an (unlicensed) drug, not a cosmetic. No injectable lane. Sellable as a cosmetic only with appearance-level claims."
aicar,AICAR (Acadesine),EU,Not FDA-approved (gray-market),not an approved consumer drug; Acadesine did not reach general approval. Investigational / research chemical. Not a cosmetic.
alpha-arbutin,Alpha Arbutin,INT,Lawful cosmetic ingredient,"Alpha arbutin is a lawful cosmetic brightening ingredient globally, including the EU (Regulation (EC) 1223/2009). The EU's Scientific Committee on Consumer Safety (SCCS) recognises up to 2% on the face (and 0.5% on the body) as safe. Products and studies typically use around 1–5%. Not a restricted substance."
amycretin,Amycretin,INT,See note,"- Everywhere — investigational, not approved. Not available by prescription or compounding outside clinical trials.
- Gray market: ""research"" amycretin sold online is unapproved and unregulated — unknown purity/dose (and, being early-stage, authenticity is especially doubtful).
- This venture: not a sellable lane — an investigational drug."
aod-9604,AOD-9604 (hGH fragment 176-191 analog),US,Not approved,"not FDA-approved for any use; listed by the FDA as a bulk drug substance that may present safety risks (i.e. flagged, not endorsed)."
aod-9604,AOD-9604 (hGH fragment 176-191 analog),EU,Not FDA-approved (gray-market),not approved; investigational/research chemical; not a cosmetic.
argireline,Argireline (Acetyl Hexapeptide-8),EU,Lawful cosmetic,"a lawful cosmetic ingredient (EU Regulation (EC) 1223/2009; US cosmetic law), sold over-the-counter worldwide. No injectable or ""research"" version, no drug filing (no NDA/IND). Straightforwardly sellable as a cosmetic — the constraint is the claims, not the legality of sale."
azelaic-acid,Azelaic Acid,INT,Lawful cosmetic (lower-strength / derivative); prescription at 15–20%,"Topical azelaic acid is a lawful cosmetic ingredient at cosmetic strengths (products are often around 10%, or use gentler azelaic derivatives). Separately, 15% gel and 20% cream are regulated PRESCRIPTION medicines for acne and rosacea in many regions — stronger forms that are a dermatologist's decision and outside the scope of this cosmetic grade."
