slug,name,compound_class,outcome,grade,base,effect,caveat
5-amino-1mq,5-Amino-1MQ (NNMT inhibitor),small_molecule,Fat loss / anti-obesity,F,"Neelakantan 2018 (DIO mice, ~/day): ↓body weight, ↓fat mass, ↓adipocyte size, no change in food intake; target-validated by Kraus 2014 (genetic knockdown, Nature)",,"Compelling but rodent-only; ""no change in food intake"" is a genuinely interesting mechanistic point, but it's still animals. No human efficacy"
5-amino-1mq,5-Amino-1MQ (NNMT inhibitor),small_molecule,NNMT as an obesity target (validation),C,Kraus 2014 Nature (knockdown) + human adipose NNMT-expression correlations (Kannt 2015),,The target is well-validated (including some human correlational data); the drug is not — don't conflate them
5-amino-1mq,5-Amino-1MQ (NNMT inhibitor),small_molecule,Muscle stem cells / aging / recomposition,F,"Neelakantan 2019 (aged mice: stem-cell reactivation, ~70% peak-torque gain)",,"Aged-mouse only; intriguing ""recomp"" angle but no human data"
5-amino-1mq,5-Amino-1MQ (NNMT inhibitor),small_molecule,Lipids / insulin sensitivity,F,Mouse: ~30% lower total cholesterol; Kraus/Brachs: improved insulin sensitivity (glucose tolerance less consistent),,Preclinical; specific LDL / clinical-lipid effects not established
5-amino-1mq,5-Amino-1MQ (NNMT inhibitor),small_molecule,Human efficacy or safety (any use),F,"None — no completed human trials, no published PK",,"The defining gap: bioavailability, half-life, dosing, safety in humans are all unknown"
5-amino-1mq,5-Amino-1MQ (NNMT inhibitor),small_molecule,Safety (animal),,"Short rodent studies: ""no observable toxicity"" over ~11 days",,Reassuring in mice over days; says nothing about human safety or chronic use
adipotide,Adipotide (FTPP / Prohibitin-TP01),peptide,Weight loss / fat reduction (the marketed use),F,Strong preclinical: mice (Nat Med 2004) + obese rhesus monkeys ~11% body weight/28 d (Sci Transl Med 2011),,"Dramatic in animals, but the human trial was terminated for toxicity before any efficacy was established/published"
adipotide,Adipotide (FTPP / Prohibitin-TP01),peptide,Insulin sensitivity / metabolic,F,Monkey: ~50% less insulin needed post-treatment,,Preclinical only; never confirmed in humans
adipotide,Adipotide (FTPP / Prohibitin-TP01),peptide,Human efficacy,F,"Phase 1 (2012), obese prostate-cancer patients — terminated; no published efficacy",,The one human trial ended early on safety; efficacy in humans is unknown
adipotide,Adipotide (FTPP / Prohibitin-TP01),peptide,Safety (the decisive issue),F,Nephrotoxicity — dose-dependent renal-tubular changes (monkey) → human Phase 1 terminated for kidney toxicity → discontinued 2019,,"This is the defining fact: a documented, trial-ending kidney-toxicity signal. Not theoretical — it stopped the program"
adipotide,Adipotide (FTPP / Prohibitin-TP01),peptide,Mechanism / target validation,C,"Prohibitin-homing + apoptotic ablation well-characterised preclinically; spawned ""hunter-killer"" peptide class",,The biology is validated and influential; the drug failed clinically. Target ≠ safe drug
afamelanotide,Afamelanotide,peptide,EPP — phototoxicity prevention / pain-free light exposure (the approved use),A,"3 randomized vehicle-controlled Phase 3 trials (CUV029/030/039, 244 adults) → EMA 2015 + FDA 2019; ~64 vs ~41 pain-free sunlight hours/180 days",,"Approved, first-in-class for a genuine unmet need — but for an ultra-rare disease; effect is meaningful-but-modest (extra tolerated-light hours), not a cure; EU approval under exceptional circumstances"
afamelanotide,Afamelanotide,peptide,UV-independent skin pigmentation (eumelanin),B,"Robust, well-characterised pharmacology (MC1R → eumelanogenesis)",,The core mechanism is real and reproducible; it is what the drug does
afamelanotide,Afamelanotide,peptide,"Cosmetic tanning (the gray-market ""Melanotan-1"" use)",D,Mechanistically works (same eumelanin pathway); no approval for this indication,,"The pathway works, but it's unapproved for cosmetics, uses an injectable systemic drug for vanity, and gray-market product quality is unverified; approved-disease data don't transfer to cosmetic safety"
afamelanotide,Afamelanotide,peptide,"Other explored uses (vitiligo, PLE, solar urticaria, acne)",D,Early Clinuvel trials 2007-2011,,Mostly unpublished or not pursued; vitiligo saw some further work; not established
afamelanotide,Afamelanotide,peptide,Photoprotection in the general (non-EPP) population,F,Not an approved or established use,,"The EPP approval is disease-specific; it is not a general ""safe tanning / sun-protection"" drug"
afamelanotide,Afamelanotide,peptide,Safety,,Approval-grade dataset (244 patients + post-marketing),,"Implant-site reactions, nausea, oropharyngeal pain, cough, fatigue, skin hyperpigmentation, dizziness, melanocytic nevi (new/changing moles). A theoretical melanoma risk → full-body skin exam twice yearly is recommended; MC1R-selectivity gives it a cleaner systemic profile than Melanotan II"
ahk-cu,Copper Tripeptide-3,peptide,Hair-follicle elongation / dermal-papilla-cell proliferation (in vitro / ex vivo),C,Pyo 2007 (Arch Pharm Res) — cultured human follicles + DPCs,"Genuine stimulation; anti-apoptotic (↑Bcl-2/Bax); ↑VEGF, ↓TGF-β1",Ex vivo / in vitro only; a single foundational study; a lab effect is not a clinical effect
ahk-cu,Copper Tripeptide-3,peptide,Topical serum increasing hair density in people (the marketed use),D,No robust human RCT of an AHK-Cu serum,Not demonstrated,The lab signal doesn't establish a clinical serum effect; penetration to the dermal papilla from a serum is doubtful (enhanced-delivery methods like microneedling perform better)
ahk-cu,Copper Tripeptide-3,peptide,"""Regrows hair / treats hair loss""",F,None (cosmetic),Not demonstrated,Not shown for a cosmetic serum — and it is a drug claim (cf. minoxidil / finasteride)
ahk-cu,Copper Tripeptide-3,peptide,Safety (topical),,Broad cosmetic use,Well tolerated; hormone-neutral,No hormonal effects (unlike finasteride); suitable for both sexes; long-term data lacking
aicar,AICAR (Acadesine),small_molecule,Endurance / exercise performance (the marketed use),F,"Narkar 2008 (Cell): sedentary mice +~44% running endurance, type-I fiber shift",,Landmark — but mouse-only; no human endurance trials; WADA-banned precisely for this
aicar,AICAR (Acadesine),small_molecule,Fat oxidation / metabolic / insulin sensitivity,F,"Well-characterised: AMPK → ACC inactivation, GLUT4, PGC-1α (cells + animals)",,Strong mechanistic/animal data; not established as a human therapeutic
aicar,AICAR (Acadesine),small_molecule,"Cardioprotection (Acadesine, cardiac surgery)",C,Legitimate clinical trials in cardiac-surgery ischemia,,Real clinical study history — but did not achieve general approval; not a consumer indication
aicar,AICAR (Acadesine),small_molecule,AMPK-activation (as a research tool),B,Decades of use as the standard AMPK probe,,BUT 2021 review: many effects AMPK-independent → interpret AICAR-only studies cautiously
aicar,AICAR (Acadesine),small_molecule,Human safety (self-use),,Trial data at therapeutic doses,,"Trials: transient uric-acid rise, mild lactic acidosis, possible hypoglycemia (insulin-independent glucose uptake); no organ-toxicity signal noted — but gray-market self-injection is unstudied, and it's banned/detectable in sport"
alpha-arbutin,Alpha Arbutin,small_molecule,Hyperpigmentation / dark spots (appearance),B,Competitive tyrosinase inhibition (Boo 2021 mechanistic review); Sugimoto 2004 three-dimensional human-skin model reporting melanin reduced to roughly 40% of control,Gradual fading of dark spots and uneven tone,Gentle and gradual; daily sun protection essential
alpha-arbutin,Alpha Arbutin,small_molecule,Post-inflammatory hyperpigmentation / PIH (appearance),B,Consistent tyrosinase mechanism plus accumulating human data,Softening of post-inflammatory marks,"Most human data comes from combination products, not arbutin alone"
alpha-arbutin,Alpha Arbutin,small_molecule,"Melasma (appearance, usually in combination)",B,"Tantanasrigul 2024 split-face, evaluator-blinded randomized pilot — a 5% alpha-arbutin + 2% kojic acid cream comparable to a prescription triple-combination cream over 12 weeks, with lower recurrence after stopping",Comparable melasma improvement to a prescription combination in one pilot,"A combination result (arbutin plus kojic), not arbutin alone; a single small pilot"
alpha-arbutin,Alpha Arbutin,small_molecule,Isolated standalone efficacy (arbutin alone vs control),C,Most human trials are combinations; standalone clinical data is thinner,Promising rather than fully settled,Hard to isolate arbutin's own contribution from its formulation partners
alpha-arbutin,Alpha Arbutin,small_molecule,Gentleness & safety (no free hydroquinone at cosmetic concentration),,"EU-SCCS recognises up to 2% on the face as safe; non-cytotoxic at cosmetic strengths, with no hydroquinone-type ochronosis or rebound reported","A gentle, well-tolerated entry point among brighteners","A recognised advantage, not an efficacy grade; patch test a new product"
amycretin,Amycretin,peptide,Weight loss — subcutaneous,B,"Phase 1b/2a (Lancet 2025, → −24.3% at 36 wk)",Very large,"Early-phase (Phase 1b/2a), small; needs Phase 3 confirmation; high trial withdrawal"
amycretin,Amycretin,peptide,Weight loss — oral,B,"Phase 1 (Lancet 2025, ~13.1% at 12 wk, > semaglutide's ~6%)",Strong for an oral agent,"Early, short (12 wk); Phase 3 pending"
amycretin,Amycretin,peptide,Type-2 diabetes (HbA1c),B,"Phase 2 (n=448, up to −1.8%)",Meaningful,Phase 2; not approved
amycretin,Amycretin,peptide,Safety,,"Phase 1/2 (GI-predominant, mostly mild-moderate)",Class-consistent,GI events frequent (as with GLP-1/amylin); long-term profile unestablished; investigational
aod-9604,AOD-9604 (hGH fragment 176-191 analog),peptide,Weight loss / obesity (the intended use),F,"Pivotal Phase 2b (~500+ obese adults, 12 wk, placebo-controlled): did NOT meet primary endpoint; effect modest, not clinically meaningful → development abandoned 2007",,"The strongest kind of ""F"" — tested in a proper trial and failed. Not a data gap; a negative result"
aod-9604,AOD-9604 (hGH fragment 176-191 analog),peptide,Lipolysis / fat metabolism (mechanistic),D,"Animal + in-vitro: stimulates fat breakdown, inhibits lipogenesis (receptor-independent)",,Real in the lab / animals — but the lab effect did not translate into human weight loss (that's the whole lesson)
aod-9604,AOD-9604 (hGH fragment 176-191 analog),peptide,IGF-1 / glucose neutrality (the design goal),B,"Human trials: no IGF-1 elevation, no glucose disturbance",,"Here the molecule genuinely delivered — it is metabolically clean; unfortunately ""clean but ineffective"" doesn't make a drug"
aod-9604,AOD-9604 (hGH fragment 176-191 analog),peptide,Joint / osteoarthritis (repurposing),F,Explored post-obesity; some interest,,Not established; a second unproven indication
aod-9604,AOD-9604 (hGH fragment 176-191 analog),peptide,Safety / tolerability,,"6 trials, 900+ participants",,"Well-characterised, well-tolerated (this is genuinely its strong suit) — but safety without efficacy isn't a therapy; and it's FDA-flagged as a bulk substance + WADA-banned"
argireline,Acetyl Hexapeptide-8,peptide,Topical: appearance of dynamic/expression wrinkles,C,Small human studies — Blanes-Mira 2002; Wang 2013 (~30% wrinkle-depth reduction at 10%),Modest improvement in some trials,Mixed: strongest positives manufacturer-funded; an independent 2023 study found no significant reduction; small samples
argireline,Acetyl Hexapeptide-8,peptide,"Reaching the neuromuscular junction at cosmetic doses (the ""muscle-relaxing"" premise)",D,Penetration data,Doubtful,Peptide must cross the stratum corneum to reach the NMJ; available data suggest it largely does not at cosmetic concentrations
argireline,Acetyl Hexapeptide-8,peptide,"""Works like / comparable to Botox""",F,None (no head-to-head),Not demonstrated,No trial compares it to botulinum toxin; mechanism is fundamentally different (reversible competition vs enzymatic cleavage); marketing overstates the evidence
argireline,Acetyl Hexapeptide-8,peptide,Safety (topical),,CIR Expert Panel assessment; broad cosmetic use,"Well tolerated, non-irritating",Regarded as safe as used; suitable for sensitive skin
azelaic-acid,Azelaic Acid,small_molecule,"Acne (appearance, cosmetic-strength topical)",B,King 2023 systematic review (43 RCTs) — azelaic more effective than vehicle; comparable to topical retinoids on inflammatory lesions in review-level evidence,Reduced appearance of breakouts and post-acne marks,Strongest data at prescription 15–20%; cosmetic-accessible form is milder; acne is a medical condition
azelaic-acid,Azelaic Acid,small_molecule,Rosacea — redness & bumps (appearance),B,King 2023 — 15% gel comparable to (or better than) metronidazole in review-level evidence,"Calmer-looking redness, papules, and pustules",The prescription 15% gel holds the strongest data; rosacea is a condition for a dermatologist
azelaic-acid,Azelaic Acid,small_molecule,Hyperpigmentation / PIH (appearance),B,"King 2023; selective tyrosinase inhibition of overactive melanocytes, fading a spot without lightening surrounding skin",Gradual fading of dark spots and post-inflammatory marks,Gradual; formulation-dependent; daily sun protection essential
azelaic-acid,Azelaic Acid,small_molecule,Melasma (appearance),B,King 2023 + Albzea 2023 meta-analysis — 20% azelaic comparable to 4% hydroquinone and better than 2% hydroquinone; lower melasma severity index than hydroquinone across pooled trials,Visible evening of melasma-related pigmentation over weeks to months,Strongest at 20% (prescription); melasma recurs and needs a dermatologist for stubborn cases
azelaic-acid,Azelaic Acid,small_molecule,Skin-aging / wrinkles,F,King 2023 found no eligible RCTs for skin-aging,Not demonstrated,No controlled evidence supports an anti-wrinkle claim
azelaic-acid,Azelaic Acid,small_molecule,"""Azelaic acid derivative"" equivalence",F,Marketing claim,,"No human study has compared a derivative head-to-head against azelaic acid itself, so the equivalence has never been tested. The 43 pooled RCTs and the melasma meta-analysis enrolled azelaic acid at 15–20% with no derivative arm; the one lower-strength comparison varied the vehicle, not the molecule. Relabelling to a derivative is an honest ingredient name — inheriting the azelaic trial record is not."
azelaic-acid,Azelaic Acid,small_molecule,Safety & tolerability (topical),,Broad cosmetic and prescription use; well tolerated,Generally well tolerated; widely regarded as often compatible with pregnancy,"Mild, transient tingling is common early; patch test. Pregnancy compatibility is a doctor's call to confirm, not medical clearance"
bakuchiol,Bakuchiol,small_molecule,Topical: fine wrinkles / photoaging appearance,B,"Dhaliwal 2019 (Br J Dermatol) — randomised, double-blind, 12-week trial n=44, bakuchiol 0.5% cream twice daily vs retinol 0.5% cream once daily; both significantly decreased wrinkle surface area with no statistical difference between compounds. Draelos 2020 (JDD) — separate clinical evaluation of nature-based bakuchiol moisturizer in sensitive-skin population.","Visible reduction of wrinkle surface area over 12 weeks, comparable magnitude to 0.5% retinol",Single independent RCT (n=44 is small); no large multi-site replication or long-term (>12 weeks) trial. Formulation-dependent (0.5% appears to be the studied effective concentration).
