slug,name,source_index,source_text,doi,resolved,verified_title,openalex_id,semantic_scholar_id,citation_count,oa_url,enrichment_source
5-amino-1mq,5-Amino-1MQ (NNMT inhibitor),0,"Kraus D, et al. Nicotinamide N-methyltransferase knockdown protects against diet-induced obesity. Nature. 2014;508:258-262 (target validation; genetic, not 5A1MQ).",10.1038/nature13198,high,Nicotinamide N-methyltransferase knockdown protects against diet-induced obesity,W2062481845,121144dabbde7533da704c1f2c199eea0c7a85c0,497,https://www.nature.com/articles/nature13198.pdf,OpenAlex+SemanticScholar
adipotide,Adipotide (FTPP / Prohibitin-TP01),0,"Kolonin MG, Saha PK, Chan L, Pasqualini R, Arap W. Reversal of obesity by targeted ablation of adipose tissue. Nat Med. 2004;10(6):625-632 (PMID 15133506) — the foundational paper.",10.1038/nm1048,high,Reversal of obesity by targeted ablation of adipose tissue,W2092566647,89525a93fc7ff79d48666b12e2ebf568884ea4e1,594,,OpenAlex+SemanticScholar
adipotide,Adipotide (FTPP / Prohibitin-TP01),1,"Barnhart KF, et al. A peptidomimetic targeting white fat causes weight loss and improved insulin resistance in obese monkeys. Sci Transl Med. 2011 (the ~11%/28-day primate result + renal-tubular signal).",10.1126/scitranslmed.3002621,high,A Peptidomimetic Targeting White Fat Causes Weight Loss and Improved Insulin Resistance in Obese Monkeys,W2152342778,,101,,OpenAlex
adipotide,Adipotide (FTPP / Prohibitin-TP01),2,"Rupnick MA, et al. Adipose tissue mass can be regulated through the vasculature. PNAS. 2002 (proof-of-concept).",10.1073/pnas.162349799,high,Adipose tissue mass can be regulated through the vasculature,W1999239339,0e52be43e454738c0be23fcc2e7fbfb1e80ba3ea,832,https://www.ncbi.nlm.nih.gov/pmc/articles/125027,OpenAlex+SemanticScholar
afamelanotide,Afamelanotide (Scenesse / Melanotan-1),3,"Wensink D, et al. Afamelanotide for prevention of phototoxicity in erythropoietic protoporphyria. Expert Rev Clin Pharmacol. 2021 (review).",10.1080/17512433.2021.1879638,high,Afamelanotide for prevention of phototoxicity in erythropoietic protoporphyria,W3123567807,,42,https://www.tandfonline.com/doi/pdf/10.1080/17512433.2021.1879638?needAccess=true,OpenAlex
ahk-cu,AHK-Cu (Copper Tripeptide-3),0,"Pyo HK, Yoo HG, Won CH, et al. The effect of tripeptide-copper complex on human hair growth in vitro. Arch Pharm Res. 2007;30(7):834–839. (PMID 17703734) — the foundational ex-vivo/in-vitro study.",10.1007/bf02978833,high,The effect of tripeptide-copper complex on human hair growth in vitro,W2074218781,,57,,OpenAlex
aicar,AICAR (Acadesine),0,"Narkar VA, et al. AMPK and PPARδ Agonists Are Exercise Mimetics. Cell. 2008;134:405-415 (the ~44% endurance / ""exercise mimetic"" paper; Evans lab, Salk).",10.1016/j.cell.2008.06.051,high,AMPK and PPARδ Agonists Are Exercise Mimetics,W2061075485,733ca062024357543c5043228ab533f80dc887df,1199,http://www.cell.com/article/S0092867408008386/pdf,OpenAlex+SemanticScholar
alpha-arbutin,Alpha Arbutin,0,"Tantanasrigul P, Sripha A, Chongmelaxme B. The Efficacy of Topical Cosmetic Containing Alpha-Arbutin 5% and Kojic Acid 2% Compared With Triple Combination Cream for the Treatment of Melasma: A Split-Face, Evaluator-Blinded Randomized Pilot Study. J Cosmet Dermatol. 2024;e16562.",10.1111/jocd.16562,high,"The Efficacy of Topical Cosmetic Containing Alpha-Arbutin 5% and Kojic Acid 2% Compared With Triple Combination Cream for the Treatment of Melasma: A Split-Face, Evaluator-Blinded Randomized Pilot Study",W4404462830,3194ba3e77f9d030d41b592030ba26467f614df9,9,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/jocd.16562,OpenAlex+SemanticScholar
alpha-arbutin,Alpha Arbutin,1,"Sugimoto K, Nishimura T, Nomura K, Sugimoto K, Kuriki T. Inhibitory Effects of Alpha-Arbutin on Melanin Synthesis in Cultured Human Melanoma Cells and a Three-Dimensional Human Skin Model. Biol Pharm Bull. 2004;27(4):510-514.",10.1248/bpb.27.510,high,Inhibitory Effects of Alpha-Arbutin on Melanin Synthesis in Cultured Human Melanoma Cells and a Three-Dimensional Human Skin Model,W2103567148,,151,https://www.jstage.jst.go.jp/article/bpb/27/4/27_4_510/_pdf,OpenAlex
alpha-arbutin,Alpha Arbutin,2,Boo YC. Arbutin as a Skin Depigmenting Agent with Antimelanogenic and Antioxidant Properties. Antioxidants (Basel). 2021;10(7):1129.,10.3390/antiox10071129,high,Arbutin as a Skin Depigmenting Agent with Antimelanogenic and Antioxidant Properties,W3179967564,966a958ea89b511824607036c2a35a3af842d027,222,https://www.mdpi.com/2076-3921/10/7/1129/pdf?version=1626423973,OpenAlex+SemanticScholar
